,,,,,,,,,,,,,,,,,,,
,,Data Dictionary ,,,,,,,,,,,,,,,**Remove color formatting when done,,
,,CMS Term,Our Term,Short Name,Shows on Result Tile,Display Type,Units,Category Values,Unit Features,Source (File),Care Type,Definition,Infections and Ratings Tabs,Definition Confidence,Location in website,,,,
,,Nurse communication - star rating,Nurse Communication,,,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,"Do nurses treat patients with courtesy, listen carefully, and explain things simply?",,From survey itself,,,,FALSE,Hospitals
,,Doctor communication - star rating,Doctor Communication,,,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,"Do doctors treat patients with courtesy, listen carefully, and explain things simply?",,From survey itself,,,,FALSE,Nursing Homes 
,,Staff responsiveness - star rating,Saff Responsiveness,,,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,"Do hospital staff stay up to date on their paitent's care, work well together for their patients, and respond timely to patient needs?",,From survey itself,,,,FALSE,Hospice
,,Communication about medicines - star rating,Medicine Communication,,,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,Do hospital staff explain what new medications are for and describe possible side effects simply?,,From survey itself,,,,FALSE,Outpatient
,,Discharge information - star rating,Discharge Information,,,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,"Do healthcare staff give information about, and make care plans for after discharge?",,From survey itself,,,,FALSE,ED
,,mptoms,Patient Rating - Hospital,Patient Rating,Yes,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,An average of all patient rating metrics - calculated by CMS,,From survey itself,,,,,Home Health
,"Not included in figma, but please include in database for front end use",Care transition - star rating,Care Transition,,,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,"Do hospital staff discuss whether patients have the help they need after discharge, do patients recieve information in writing about symptions to look out for after discharge?",,From survey itself,,,,FALSE,Hemodialysis
,,Cleanliness - star rating,Cleanliness,,,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,How often are patient's room and bathroom kept clean?,,From survey itself,,,,,
,,Quietness - star rating,Quietness,,,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,"How often are the areas around patient rooms quiet, and are patients able to get the rest they need?",,From survey itself,,,,,
,,Overall hospital rating - star rating,Overall Hospital Rating,,,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,How do patients rate this hospital?,,From survey itself,,,,,
,,Recommend hospital - star rating,Do Patients Recommend?,,,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,Would patient's recommend this hospital to their friends and family?,,From survey itself,,,,,
,,,Infection Risk,Infection Risk,Yes,Emoji,Category,"Better Than Average, Average, Below Average","Red, Orange, Yellow, Green, Grey",https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,,,,,,,,
