Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,Months,SIR_2015,Notes
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,836,933.30,15872331,0.90,0.84,0.96,Better,No,,0.97,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,3,2.34,112490,1.28,0.33,3.49,Same,No,,0.47,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,107,75.37,435644,1.42,1.17,1.71,Worse,No,,1.59,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,7,9.61,505198,0.73,0.32,1.44,Same,No,,0.85,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000011,Alameda Hospital,Alameda,Acute Care Hospital,"Community, <125 Beds",1,0.98,16407,1.02,0.03,5.68,Same,No,12,0.00,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000203,Alta Bates Summit Medical Center - Summit Campus,Alameda,Acute Care Hospital,Major Teaching,1,3.80,53101,0.26,0.01,1.30,Same,Yes,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000203,Alta Bates Summit Medical Center - Summit Campus,Alameda,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.23,12082,0.00,0.00,16.06,Same,Yes,12,,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000012,Alta Bates Summit Medical Center-Alta Bates Campus,Alameda,Acute Care Hospital,Major Teaching,0,3.15,61766,0.00,0.00,0.95,Better,Yes,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000183,Eden Medical Center,Alameda,Acute Care Hospital,"Community, 125-250 Beds",0,2.46,42815,0.00,0.00,1.22,Same,Yes,12,2.19,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000034,Highland Hospital,Alameda,Acute Care Hospital,Major Teaching,8,4.11,54478,1.95,0.90,3.69,Same,No,12,0.74,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001086,Kaiser Foundation Hospital - Fremont,Alameda,Acute Care Hospital,"Community, <125 Beds",2,1.09,28109,1.84,0.31,6.08,Same,No,12,0.00,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188,Kaiser Foundation Hospital - Oakland/Richmond,Alameda,Acute Care Hospital,Major Teaching,0,4.60,87114,0.00,0.00,0.65,Better,Yes,12,0.45,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630015029,Kaiser Foundation Hospital - San Leandro,Alameda,Acute Care Hospital,"Community, 125-250 Beds",4,2.78,61696,1.44,0.46,3.47,Same,No,12,0.50,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148,Kindred Hospital - San Francisco Bay Area,Alameda,Long-Term Acute Care Hospital,Long-Term Acute Care,9,3.91,22431,2.30,1.12,4.22,Worse,No,12,0.74,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913,San Leandro Hospital,Alameda,Acute Care Hospital,"Community, <125 Beds",0,0.87,16186,0.00,0.00,4.25,Same,Yes,12,2.00,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000041,St Rose Hospital,Alameda,Acute Care Hospital,"Community, 125-250 Beds",1,0.82,18289,1.22,0.03,6.81,Same,No,12,0.65,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000199,Stanford Health Care Tri-Valley,Alameda,Acute Care Hospital,"Community, 125-250 Beds",2,1.83,40071,1.10,0.18,3.62,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014,Ucsf Benioff Children's Hospital Oakland,Alameda,Acute Care Hospital,Pediatric,1,1.58,41426,0.63,0.03,3.12,Same,No,12,0.00,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118,Washington Hospital,Alameda,Acute Care Hospital,"Community, >250 Beds",2,3.21,62308,0.62,0.11,2.06,Same,No,12,0.74,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000108,Sutter Amador Hospital,Amador,Acute Care Hospital,"Community, <125 Beds",2,0.29,10384,7.00,0.85,25.30,Same,No,12,,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013,Enloe Medical Center - Esplanade,Butte,Acute Care Hospital,"Community, >250 Beds",4,3.80,81516,1.05,0.33,2.54,Same,No,12,0.85,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000405,Enloe Rehabilitation Center,Butte,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.12,6378,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001,Orchard Hospital,Butte,Critical Access Hospital,Critical Access,0,0.02,1155,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014,Oroville Hospital,Butte,Acute Care Hospital,"Community, 125-250 Beds",1,2.03,44838,0.49,0.03,2.43,Same,Yes,12,1.15,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000120,Mark Twain Medical Center,Calaveras,Critical Access Hospital,Critical Access,0,0.06,2739,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000259,Colusa Medical Center,Colusa,Acute Care Hospital,"Community, <125 Beds",0,0.17,7458,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195,Contra Costa Regional Medical Center,Contra Costa,Acute Care Hospital,Major Teaching,2,1.49,32814,1.34,0.22,4.42,Same,No,12,,
