"State","Measure ID","Measure Name","Number of Hospitals Worse","Number_of_Hospitals_Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
AK,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,1,4,0,12
AK,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,2,3,3,14
AK,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,0,10,3,9
AK,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,7,0,8,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,5,0,7,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,5,0,7,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,6,0,4,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,5,0,12,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_CABG,Rate of readmission for CABG,0,2,0,0,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,12,0,10,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,8,0,14,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,9,0,1,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,15,0,6,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,13,0,9,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,1,24,7,41
AL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,1,54,16,17
AL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,3,56,22,8
AL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,72,0,4,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
