Facility ID,Address,Facility Name,Nurse communication - star rating,Doctor communication - star rating,Staff responsiveness - star rating,Communication about medicines - star rating,Discharge information - star rating,Care transition - star rating,Cleanliness - star rating,Quietness - star rating,Overall hospital rating - star rating,Recommend hospital - star rating,Summary star rating,Central Line Associated Bloodstream Infection (ICU + select Wards) Lower CI,Central Line Associated Bloodstream Infection (ICU + select Wards) Upper CI,Central Line Associated Bloodstream Infection (ICU + select Wards) SIR,Central Line Associated Bloodstream Infection (ICU + select Wards) Compared to National,Catheter Associated Urinary Tract Infections (ICU + select Wards) Lower CI,Catheter Associated Urinary Tract Infections (ICU + select Wards) Upper CI,Catheter Associated Urinary Tract Infections (ICU + select Wards) SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards) Compared to National,SSI - Colon Surgery Lower CI,SSI - Colon Surgery Upper CI,SSI - Colon Surgery SIR,SSI - Colon Surgery Compared to National,SSI - Abdominal Hysterectomy Lower CI,SSI - Abdominal Hysterectomy Upper CI,SSI - Abdominal Hysterectomy SIR,SSI - Abdominal Hysterectomy Compared to National,MRSA Bacteremia Lower CI,MRSA Bacteremia Upper CI,MRSA Bacteremia SIR,MRSA Bacteremia Compared to National,Clostridium Difficile (C.Diff) Lower CI,Clostridium Difficile (C.Diff) Upper CI,Clostridium Difficile (C.Diff) SIR,Clostridium Difficile (C.Diff) Compared to National,Mean SIR,Mean Compared to National,Infection Rating
010001,"1108 ROSS CLARK CIRCLE, DOTHAN, AL 36301",SOUTHEAST HEALTH MEDICAL CENTER,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,0.597,1.974,1.136,2.0,0.230,0.759,0.437,3.0,0.217,1.650,0.684,2.0,,,,,0.384,1.446,0.788,2.0,0.460,0.844,0.631,3.0,0.7352000000000001,2.4,4
010005,"2505 U S HIGHWAY 431 NORTH, BOAZ, AL 35957",MARSHALL MEDICAL CENTERS,3.0,4.0,1.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,0.860,5.206,2.349,2.0,0.169,1.808,0.664,2.0,0.551,4.180,1.733,2.0,,,,,0.027,2.616,0.531,2.0,0.179,1.080,0.487,2.0,1.1528,2.0,3
010006,"1701 VETERANS DRIVE, FLORENCE, AL 35630",NORTH ALABAMA MEDICAL CENTER,3.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,0.210,1.595,0.661,2.0,0.105,0.794,0.329,3.0,--,1.014,0.000,2.0,,,,,0.738,3.017,1.589,2.0,0.002,0.214,0.043,3.0,0.5244,2.4,4
010007,"702 N MAIN ST, OPP, AL 36467",MIZELL MEMORIAL HOSPITAL,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,0.019,1.905,0.386,2.0,0.386,2.0,3
010011,"50 MEDICAL PARK EAST DRIVE, BIRMINGHAM, AL 35235",ST. VINCENT'S EAST,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,0.519,1.555,0.933,2.0,0.410,1.286,0.756,2.0,0.012,1.217,0.247,2.0,,,,,0.349,1.790,0.861,2.0,0.490,0.906,0.674,3.0,0.6941999999999999,2.2,3
010012,"200 MED CENTER DRIVE, FORT PAYNE, AL 35968",DEKALB REGIONAL MEDICAL CENTER,3.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,,,,,--,1.568,0.000,2.0,,,,,,,,,,,,,0.016,1.560,0.316,2.0,0.158,2.0,3
010016,"1000 FIRST STREET NORTH, ALABASTER, AL 35007",SHELBY BAPTIST MEDICAL CENTER,3.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0.063,1.246,0.377,2.0,0.146,1.111,0.461,2.0,--,1.026,0.000,2.0,,,,,0.123,2.419,0.732,2.0,0.271,1.020,0.556,2.0,0.4252000000000001,2.0,3
010019,"1300 SOUTH MONTGOMERY AVENUE, SHEFFIELD, AL 35660",HELEN KELLER HOSPITAL,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,0.826,4.999,2.255,2.0,0.009,0.902,0.183,3.0,1.041,7.902,3.276,1.0,,,,,0.870,6.604,2.738,2.0,0.170,1.029,0.464,2.0,1.7832000000000001,2.0,3
010021,"126 HOSPITAL AVE, OZARK, AL 36360",DALE MEDICAL CENTER,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,0.017,1.714,0.347,2.0,0.347,2.0,3
010023,"2105 EAST SOUTH BOULEVARD, MONTGOMERY, AL 36116",BAPTIST MEDICAL CENTER SOUTH,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.262,2.590,1.837,1.0,1.099,1.927,1.470,1.0,0.600,2.713,1.371,2.0,,,,,1.193,3.309,2.053,1.0,0.194,0.610,0.359,3.0,1.418,1.6,2
